,ds,country,polygon_source,polygon_id,polygon_name,all_day_bing_tiles_visited_relative_change,all_day_ratio_single_tile_users,baseline_name,baseline_type
1825891,2020-03-01,CHL,GADM,CHL.1.1_1,Ais-n,-0.03185,0.16252,full_february,DAY_OF_WEEK
1825892,2020-03-02,CHL,GADM,CHL.1.1_1,Ais-n,0.02373,0.11809000000000001,full_february,DAY_OF_WEEK
1825893,2020-03-03,CHL,GADM,CHL.1.1_1,Ais-n,0.01162,0.12301,full_february,DAY_OF_WEEK
1825894,2020-03-04,CHL,GADM,CHL.1.1_1,Ais-n,-0.00837,0.12052,full_february,DAY_OF_WEEK
1825895,2020-03-05,CHL,GADM,CHL.1.1_1,Ais-n,0.006959999999999999,0.1194,full_february,DAY_OF_WEEK
1825896,2020-03-06,CHL,GADM,CHL.1.1_1,Ais-n,-0.05554,0.1283,full_february,DAY_OF_WEEK
1825897,2020-03-07,CHL,GADM,CHL.1.1_1,Ais-n,-0.14986,0.18058,full_february,DAY_OF_WEEK
1825898,2020-03-08,CHL,GADM,CHL.1.1_1,Ais-n,-0.10375999999999999,0.18317,full_february,DAY_OF_WEEK
1825899,2020-03-09,CHL,GADM,CHL.1.1_1,Ais-n,0.00624,0.1121,full_february,DAY_OF_WEEK
1825900,2020-03-10,CHL,GADM,CHL.1.1_1,Ais-n,-0.01781,0.11775999999999999,full_february,DAY_OF_WEEK
1825901,2020-03-11,CHL,GADM,CHL.1.1_1,Ais-n,-0.00135,0.12722999999999998,full_february,DAY_OF_WEEK
1825902,2020-03-12,CHL,GADM,CHL.1.1_1,Ais-n,-0.11183,0.13826,full_february,DAY_OF_WEEK
1825903,2020-03-13,CHL,GADM,CHL.1.1_1,Ais-n,-0.07165,0.1273,full_february,DAY_OF_WEEK
1825904,2020-03-14,CHL,GADM,CHL.1.1_1,Ais-n,-0.16348,0.17622000000000002,full_february,DAY_OF_WEEK
1825905,2020-03-15,CHL,GADM,CHL.1.1_1,Ais-n,-0.17071,0.20889000000000002,full_february,DAY_OF_WEEK
1825906,2020-03-16,CHL,GADM,CHL.1.1_1,Ais-n,-0.16299,0.16995,full_february,DAY_OF_WEEK
1825907,2020-03-17,CHL,GADM,CHL.1.1_1,Ais-n,-0.17361,0.18323,full_february,DAY_OF_WEEK
1825908,2020-03-18,CHL,GADM,CHL.1.1_1,Ais-n,-0.16923,0.18908,full_february,DAY_OF_WEEK
1825909,2020-03-19,CHL,GADM,CHL.1.1_1,Ais-n,-0.2991,0.23356,full_february,DAY_OF_WEEK
1825910,2020-03-20,CHL,GADM,CHL.1.1_1,Ais-n,-0.26744,0.21293,full_february,DAY_OF_WEEK
1825911,2020-03-21,CHL,GADM,CHL.1.1_1,Ais-n,-0.3911,0.27697,full_february,DAY_OF_WEEK
1825912,2020-03-22,CHL,GADM,CHL.1.1_1,Ais-n,-0.48995,0.35295,full_february,DAY_OF_WEEK
1825913,2020-03-23,CHL,GADM,CHL.1.1_1,Ais-n,-0.39465,0.28324,full_february,DAY_OF_WEEK
1825914,2020-03-24,CHL,GADM,CHL.1.1_1,Ais-n,-0.36571,0.26094,full_february,DAY_OF_WEEK
1825915,2020-03-25,CHL,GADM,CHL.1.1_1,Ais-n,-0.31989,0.26266999999999996,full_february,DAY_OF_WEEK
1825916,2020-03-26,CHL,GADM,CHL.1.1_1,Ais-n,-0.34578000000000003,0.23158,full_february,DAY_OF_WEEK
1825917,2020-03-27,CHL,GADM,CHL.1.1_1,Ais-n,-0.37123,0.24299,full_february,DAY_OF_WEEK
1825918,2020-03-28,CHL,GADM,CHL.1.1_1,Ais-n,-0.39949,0.28611,full_february,DAY_OF_WEEK
1825919,2020-03-29,CHL,GADM,CHL.1.1_1,Ais-n,-0.44573,0.32831,full_february,DAY_OF_WEEK
1825920,2020-03-30,CHL,GADM,CHL.1.1_1,Ais-n,-0.31764000000000003,0.2275,full_february,DAY_OF_WEEK
1825921,2020-03-31,CHL,GADM,CHL.1.1_1,Ais-n,-0.30726,0.22903,full_february,DAY_OF_WEEK
1825922,2020-04-01,CHL,GADM,CHL.1.1_1,Ais-n,-0.2925,0.23569,full_february,DAY_OF_WEEK
1825923,2020-04-02,CHL,GADM,CHL.1.1_1,Ais-n,-0.29871,0.21991,full_february,DAY_OF_WEEK
1825924,2020-04-03,CHL,GADM,CHL.1.1_1,Ais-n,-0.39785,0.25056,full_february,DAY_OF_WEEK
1825925,2020-04-04,CHL,GADM,CHL.1.1_1,Ais-n,-0.41648,0.2917,full_february,DAY_OF_WEEK
1825926,2020-04-05,CHL,GADM,CHL.1.1_1,Ais-n,-0.42555,0.32716,full_february,DAY_OF_WEEK
1825927,2020-04-06,CHL,GADM,CHL.1.1_1,Ais-n,-0.28958,0.23453000000000002,full_february,DAY_OF_WEEK
1825928,2020-04-07,CHL,GADM,CHL.1.1_1,Ais-n,-0.30415,0.21955,full_february,DAY_OF_WEEK
